NombreVariable,Ordinal,Activa,Tipo,Valores,Descripcion
ID_Paciente,1,1, nvarchar (11),,Identificador de la persona a quién se le realizó el examen de heces
UpdateVersion,2,1, int,,Valor de la versión que se esta presentando
forDeletion,3,1, int,1 | 0,Valor que define si el registro es utilizable o no 
InsertUser,4,1, nvarchar (20),,Usuario que insertó el registro
InsertDate,5,1, datetime,,fecha en que se insertó el registro
InsertMsg,6,1, nvarchar,,mensaje original 
DBModifDate,7,1, datetime,,fecha en que se modificó el registro
DBModifUser,8,1, nvarchar (20),,usuario que modificó el registro
DBModifMsg,9,1, nvarchar,,mensaje sobre la modificación realizada al registro
version,10,1, nvarchar,,versión actual del registro
fechaIngresoEstudio,11,1, datetime,,Fecha en que se registro que se tomo la prueba
ID_Paciente_depto,12,1, nvarchar,,Departamento al que pertenece la muestra
ID_Paciente_sitio,13,1, nvarchar,,Identificador del Sitio en el que ingreso la persona
viralPCR_Hizo,14,1, int,0 = No| 1=Si | 97 = Pendiente,Indica si la prueba de PCR  Viral fué realizada
viralPCR_RSV,15,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de RSV 
viralPCR_hMPV,16,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de MPV
viralPCR_hPIV1,17,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de ParaInfluenza 1
viralPCR_hPIV2,18,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de ParaInfluenza 2
viralPCR_hPIV3,19,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de ParaInfluenza 3
viralPCR_AD,20,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de Adenovirus
viralPCR_FluA,21,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de Influenza A
viralPCR_FluB,22,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de Influenza B
viralPCR_RNP,23,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de RNP
bacterialPCR_Hizo,24,1, int,0 = No| 1=Si | 97 = Pendiente,Indica si la prueba de PCR Bacterial fué realizada
bacterialPCR_CP,25,1, int,1 = Positivo | 0 = Negativo | 80 = Dudoso o inconcluso,Indica el resultado de  la prueba de Chlamydia pneumoniae
